StateAb,DivisionNm,CandidateNm,PartyNm,BallotPosition
NSW,Greenway,"RAJADURAI, Osbourn Inparajah",Christian Democratic Party (Fred Nile Group),6
NSW,Hughes,"KELLY, Craig",Liberal,1
NSW,Hughes,"SHAKESPEARE, Mitchell",The Greens,2
NSW,Hughes,"CONSTABLE, Gae",Animal Justice Party,3
NSW,Hughes,"KEEP, Terrance",United Australia Party,4
NSW,Hughes,"STEINWALL, Diedree",Australian Labor Party,5
NSW,Hughes,"BRYAN, Matt",Independent,6
NSW,Hughes,"LIU, Leo-Ning",Christian Democratic Party (Fred Nile Group),7
NSW,Hume,"CHAMPION, Aoife",Australian Labor Party,1
NSW,Hume,"ABDO, Lynda",United Australia Party,2
NSW,Hume,"HARGRAVES, Tanya",Fraser Anning's Conservative National Party,3
NSW,Hume,"TAYLOR, Angus",Liberal,4
NSW,Hume,"POWELL, David",The Greens,5
NSW,Hume,"KINGSTON, Huw Mostyn",Independent,6
NSW,Hume,"NEBAUER, Ian Stanley",Christian Democratic Party (Fred Nile Group),7
NSW,Hunter,"BONDS, Stuart",Pauline Hanson's One Nation,1
NSW,Hunter,"ANGUS, Josh",The Nationals,2
NSW,Hunter,"MURPHY, James",Animal Justice Party,3
NSW,Hunter,"DAVIES, Paul",United Australia Party,4
NSW,Hunter,"MURRAY, Janet",The Greens,5
NSW,Hunter,"STRETTON, Richard",Christian Democratic Party (Fred Nile Group),6
NSW,Hunter,"FITZGIBBON, Joel",Australian Labor Party,7
NSW,Hunter,"BODDY, Max",Socialist Equality Party,8
NSW,Kingsford Smith,"CRUZ, James",The Greens,1
NSW,Kingsford Smith,"MANSON, Adrian",Christian Democratic Party (Fred Nile Group),2
NSW,Kingsford Smith,"THISTLETHWAITE, Matt",Australian Labor Party,3
NSW,Kingsford Smith,"CAMPBELL, Petra",Sustainable Australia,4
NSW,Kingsford Smith,"JANSSON, James",Science Party,5
NSW,Kingsford Smith,"WATSON, Adam Bruce",United Australia Party,6
NSW,Kingsford Smith,"WILMOT, Amanda",Liberal,7
NSW,Lindsay,"LEES, Brandon",Fraser Anning's Conservative National Party,1
NSW,Lindsay,"BEAMER, Diane",Australian Labor Party,2
NSW,Lindsay,"McINTOSH, Melissa",Liberal,3
NSW,Lindsay,"BEST, Nick",The Greens,4
NSW,Lindsay,"BUTTEL, Christopher",United Australia Party,5
NSW,Lindsay,"TYNDALL, Mark",Independent,6
NSW,Lindsay,"BROWN, Geoff",Sustainable Australia,7
NSW,Lindsay,"MOODY-BASEDOW, Mark K.C.",Christian Democratic Party (Fred Nile Group),8
NSW,Lindsay,"SALEAM, Jim",Australia First Party,9
NSW,Lyne,"COSTA, Phil",Australian Labor Party,1
NSW,Lyne,"GILLESPIE, David",The Nationals,2
NSW,Lyne,"BOURKE, Garry",United Australia Party,3
NSW,Lyne,"GOLDSPRING, Ryan Frederick",Fraser Anning's Conservative National Party,4
NSW,Lyne,"McCRAE, Dean",Liberal Democrats,5
NSW,Lyne,"CARUANA, Ed",Australian Workers Party,6
NSW,Lyne,"MILLER, Jeremy John",Independent,7
NSW,Lyne,"ZHAO, Catherine",Christian Democratic Party (Fred Nile Group),8
NSW,Lyne,"WATSON, Stuart",The Greens,9
NSW,Macarthur,"GENT, James",Christian Democratic Party (Fred Nile Group),1
NSW,Macarthur,"FREELANDER, Mike",Australian Labor Party,2
NSW,Macarthur,"STELLINO, Matt",Animal Justice Party,3
NSW,Macarthur,"NORMAN, Shane",Pauline Hanson's One Nation,4
NSW,Macarthur,"MUNRO, Riley",Liberal,5
NSW,Macarthur,"MURPHY, Nathan John",United Australia Party,6
NSW,Macarthur,"RIVERA, Jayden",The Greens,7
NSW,Mackellar,"LYON, David",United Australia Party,1
NSW,Mackellar,"DALY, Suzanne",Sustainable Australia,2
NSW,Mackellar,"THOMPSON, Alice",Independent,3
NSW,Mackellar,"WAWN, Pru",The Greens,4
NSW,Mackellar,"STEELE, Declan",Australian Labor Party,5
NSW,Mackellar,"FALINSKI, Jason",Liberal,6
NSW,Mackellar,"LEVETT, Greg",Christian Democratic Party (Fred Nile Group),7
NSW,Macquarie,"RICHARDS, Sarah",Liberal,1
NSW,Macquarie,"LIU, Kingsley",The Greens,2
NSW,Macquarie,"TEMPLEMAN, Susan",Australian Labor Party,3
NSW,Macquarie,"KEIGHTLEY, Greg",Animal Justice Party,4
NSW,Macquarie,"PETTITT, Tony Bryan",United Australia Party,5
NSW,McMahon,"WRIGHTSON, Meg Libby",United Australia Party,1
NSW,McMahon,"COMMANE, Damian",Pauline Hanson's One Nation,2
NSW,McMahon,"FRANCIS, Zeeshan Philip",Christian Democratic Party (Fred Nile Group),3
NSW,McMahon,"BOWEN, Chris",Australian Labor Party,4
NSW,McMahon,"O'NEILL, Astrid",The Greens,5
NSW,McMahon,"SINGHA, Vivek",Liberal,6
NSW,Mitchell,"SELVARAJ, Immanuel",Australian Labor Party,1
NSW,Mitchell,"HAWKE, Alex",Liberal,2
NSW,Mitchell,"HOPPENBROUWER, Roy Peter",United Australia Party,3
NSW,Mitchell,"HALL, Craig L",Christian Democratic Party (Fred Nile Group),4
NSW,Mitchell,"MURPHY, Lawrence",The Greens,5
NSW,New England,"LEDGER, Natasha",Independent,1
NSW,New England,"COLLINS, Julie",Christian Democratic Party (Fred Nile Group),2
NSW,New England,"LANGENBERG, Yvonne",Australian Labor Party,3
NSW,New England,"JOYCE, Barnaby",The Nationals,4
NSW,New England,"LONERGAN, Tony",The Greens,5
NSW,New England,"BLAKESTER, Adam",Independent,6
NSW,New England,"TABER, Rob",Independent,7
NSW,New England,"DUNCAN, Cindy Anne",United Australia Party,8
NSW,Newcastle,"CLAYDON, Sharon",Australian Labor Party,1
NSW,Newcastle,"MACKENZIE, John",The Greens,2
NSW,Newcastle,"WISE, Pam",Christian Democratic Party (Fred Nile Group),3
NSW,Newcastle,"SCULLY, Geoffrey",United Australia Party,4
NSW,Newcastle,"FUTTER, B.J.",The Great Australian Party,5
NSW,Newcastle,"BROLLO, Darren",Animal Justice Party,6
NSW,Newcastle,"WARK, Katrina",Liberal,7
NSW,North Sydney,"VERNON, David",Christian Democratic Party (Fred Nile Group),1
NSW,North Sydney,"STONE, Brett",Australian Labor Party,2
NSW,North Sydney,"VAGG, Peter John",United Australia Party,3
NSW,North Sydney,"KEOGH, Daniel",The Greens,4
NSW,North Sydney,"CHESTERFIELD-EVANS, Arthur",Independent,5
NSW,North Sydney,"GRAHAM, Greg",Sustainable Australia,6
NSW,North Sydney,"ZIMMERMAN, Trent",Liberal,7
NSW,Page,"LEVINY, Fiona",Independent,1
NSW,Page,"WATERS, Alison",Animal Justice Party,2
NSW,Page,"WALKER, Peter",Christian Democratic Party (Fred Nile Group),3
NSW,Page,"MUDGE, John Damian",United Australia Party,4
NSW,Page,"REID, Dan",The Greens,5
NSW,Page,"HOGAN, Kevin",The Nationals,6
NSW,Page,"DEEGAN, Patrick",Australian Labor Party,7
NSW,Parkes,"JONES, Daniel J",Liberal Democrats,1
NSW,Parkes,"COULTON, Mark",The Nationals,2
NSW,Parkes,"PAULL, David",The Greens,3
NSW,Parkes,"AYOUB, Jack",Australian Labor Party,4
NSW,Parkes,"LANDERS, Will",Independent,5
NSW,Parkes,"VAN DER STEEN, Petrus Joannes Gijsbertus",United Australia Party,6
NSW,Parramatta,"CAMENZULI, Charles",Liberal,1
NSW,Parramatta,"OWENS, Julie",Australian Labor Party,2
NSW,Parramatta,"LOKE, Ganesh Sahadev",United Australia Party,3
NSW,Parramatta,"BRADLEY, Phil",The Greens,4
NSW,Parramatta,"PAYARA, Asma",Christian Democratic Party (Fred Nile Group),5
NSW,Parramatta,"GRENFELL, Oscar",Socialist Equality Party,6
NSW,Paterson,"JOSHI, Sachin",Liberal,1
NSW,Paterson,"TURNER, Neil",Pauline Hanson's One Nation,2
NSW,Paterson,"SWANSON, Meryl",Australian Labor Party,3
NSW,Paterson,"BURSTON, Graham",United Australia Party,4
NSW,Paterson,"DAVIS, Jan",The Greens,5
NSW,Paterson,"VALE, Christopher Arthur",Christian Democratic Party (Fred Nile Group),6
NSW,Reid,"PIPER, Keith",Christian Democratic Party (Fred Nile Group),1
NSW,Reid,"JAGO, Charles",The Greens,2
NSW,Reid,"CROSBY, Sam",Australian Labor Party,3
NSW,Reid,"MARTIN, Fiona",Liberal,4
NSW,Reid,"LEE, Young",United Australia Party,5
NSW,Reid,"LAXMANALAL, Rohan",Animal Justice Party,6
NSW,Richmond,"McDONALD, Ronald",Sustainable Australia,1
NSW,Richmond,"MITCHELL, Hamish Jenkin",United Australia Party,2
NSW,Richmond,"COX, Morgan",Christian Democratic Party (Fred Nile Group),3
NSW,Richmond,"ELLIOT, Justine",Australian Labor Party,4
NSW,Richmond,"KARAM, Ray",Independent,5
NSW,Richmond,"BARNETT, Tom",Involuntary Medication Objectors (Vaccination/Fluoride) Party,6
NSW,Richmond,"FRASER, Matthew",The Nationals,7
NSW,Richmond,"LYON, Michael",The Greens,8
NSW,Riverina,"McCORMACK, Michael",The Nationals,1
NSW,Riverina,"BAYLES, Michael",The Greens,2
NSW,Riverina,"JEFFRESON, Mark",Australian Labor Party,3
NSW,Riverina,"FOLEY, Richard",United Australia Party,4
NSW,Robertson,"SINGER, Judy",Sustainable Australia,1
NSW,Robertson,"MARKS, Robert James",United Australia Party,2
NSW,Robertson,"STUCKEN, Fiona Phoebe",Christian Democratic Party (Fred Nile Group),3
NSW,Robertson,"ABRAHAMS, David Fraser",Independent,4
NSW,Robertson,"WICKS, Lucy",Liberal,5
NSW,Robertson,"CONNOR, Cath",The Greens,6
NSW,Robertson,"BREMNER YOUNG, Sean",Animal Justice Party,7
NSW,Robertson,"CHARLTON, Anne",Australian Labor Party,8
NSW,Shortland,"NEWBURY, Susan",Sustainable Australia,1
NSW,Shortland,"YU, Xing",Christian Democratic Party (Fred Nile Group),2
NSW,Shortland,"CONROY, Pat",Australian Labor Party,3
NSW,Shortland,"RIFAI, Dani",United Australia Party,4
NSW,Shortland,"CAMPBELL, Wylie",The Greens,5
NSW,Shortland,"McGRATH, Bryan",Animal Justice Party,6
NSW,Shortland,"McGILL, Nell",Liberal,7
NSW,Sydney,"MUNRO, Jacqui",Liberal,1
NSW,Sydney,"HAMMOND, Aaron",Science Party,2
NSW,Sydney,"PLIBERSEK, Tanya",Australian Labor Party,3
NSW,Sydney,"HOLT, Adam",United Australia Party,4
NSW,Sydney,"THOMPSON, Matthew",The Greens,5
NSW,Sydney,"REDDIN, Rebecca",Christian Democratic Party (Fred Nile Group),6
NSW,Warringah,"BARNES, Heather",Animal Justice Party,1
NSW,Warringah,"MOYLAN, Susan",Independent,2
NSW,Warringah,"HARRIS, Dean",Australian Labor Party,3
NSW,Warringah,"PALETTO, Emanuele",Sustainable Australia,4
NSW,Warringah,"WRIGHTSON, Suellen Marree",United Australia Party,5
NSW,Warringah,"ABBOTT, Tony",Liberal,6
NSW,Warringah,"CLARE, Brian",Fraser Anning's Conservative National Party,7
NSW,Warringah,"STEGGALL, Zali",Independent,8
NSW,Warringah,"BLAIKLOCK, Jason",Christian Democratic Party (Fred Nile Group),9
