StateAb,Ticket,CandidateNm,PartyNm,BallotPosition
SA,B,"DWYER, Tim",Fraser Anning's Conservative National Party,2
SA,C,"KAKOSCHKE-MOORE, Skye",Centre Alliance,1
SA,C,"BOSSIE, Craig",Centre Alliance,2
SA,D,"BURROW, Tim",Australian Democrats,1
SA,D,"CASTRIQUE, Andrew",Australian Democrats,2
SA,E,"GAME, Jennifer",Pauline Hanson's One Nation,1
SA,E,"ILLIES, Emma",Pauline Hanson's One Nation,2
SA,F,"ALLWOOD, Sean",Citizens Electoral Council,1
SA,F,"SIEBERT, Paul Graham",Citizens Electoral Council,2
SA,G,"RUSTON, Anne",Liberal,1
SA,G,"FAWCETT, David",Liberal,2
SA,G,"ANTIC, Alex",Liberal,3
SA,G,"GICHUHI, Lucy",Liberal,4
SA,H,"DAVIES, Graham",Sustainable Australia,1
SA,H,"COLEMAN, Robyn",Sustainable Australia,2
SA,I,"ADAMS, Angela",Help End Marijuana Prohibition (HEMP) Party,1
SA,I,"IVERSEN, Matthew",Help End Marijuana Prohibition (HEMP) Party,2
SA,J,"HANSON-YOUNG, Sarah",The Greens,1
SA,J,"SUMNER, Major Moogy",The Greens,2
SA,J,"ROZITISOLDS, Gwydion",The Greens,3
SA,J,"SETO, Robyn",The Greens,4
SA,K,"REES, Kristian",United Australia Party,1
SA,K,"KOVACS, Kerry",United Australia Party,2
SA,K,"HOSKIN, Sharon Lee",United Australia Party,3
SA,L,"LAMBERT, Rikki",Australian Conservatives,1
SA,L,"TEUSNER, Carl",Australian Conservatives,2
SA,M,"HAHN, John","Shooters, Fishers and Farmers",1
SA,M,"KIRK, Wayne Lawrence","Shooters, Fishers and Farmers",2
SA,N,"RANSLEY, Kimbra Louise",Liberal Democrats,1
SA,N,"HUMBLE, Stephen",Liberal Democrats,2
SA,O,"GALLACHER, Alex",Australian Labor Party,1
SA,O,"SMITH, Marielle",Australian Labor Party,2
SA,O,"GORE, Emily",Australian Labor Party,3
SA,O,"HARRISON, Larissa",Australian Labor Party,4
SA,P,"PFEIFFER, Louise",Animal Justice Party,1
SA,P,"DAVEY, Wendy",Animal Justice Party,2
SA,UG,"LESIW, Michael",Independent,1
SA,UG,"O'DONNELL, Brett",Independent,2
SA,UG,"COX, Henry",Independent,3
TAS,A,"STRINGER, Justin",Australian Conservatives,1
TAS,A,"FRAME, Nigel",Australian Conservatives,2
TAS,B,"MARTIN, Steve",The Nationals,1
TAS,B,"HILDITCH, Wendy",The Nationals,2
TAS,C,"DUDLEY, Todd William",Sustainable Australia,1
TAS,C,"MACLAY, Christopher Brian",Sustainable Australia,2
TAS,D,"McKIM, Nick",The Greens,1
TAS,D,"HUTCHINSON, Helen",The Greens,2
TAS,D,"MARSH, Simone",The Greens,3
TAS,E,"COLBECK, Richard",Liberal,1
TAS,E,"CHANDLER, Claire",Liberal,2
TAS,E,"DENISON, Tanya",Liberal,3
TAS,F,"BEVIS, Karen Louise",Animal Justice Party,1
TAS,F,"TURNER, Isobel Bertoz",Animal Justice Party,2
TAS,G,"WILLIAMS, Ray",Citizens Electoral Council,1
TAS,G,"KUCINA, Steve",Citizens Electoral Council,2
TAS,H,"MEAD, Clinton",Liberal Democrats,1
TAS,H,"RABEY, Matthew",Liberal Democrats,2
TAS,I,"BROWN, Carol",Australian Labor Party,1
TAS,I,"BILYK, Catryna",Australian Labor Party,2
TAS,I,"SHORT, John",Australian Labor Party,3
